year,month,day,amount
2021,1,19,411
2021,1,18,410
2021,1,17,0
2021,1,16,0
2021,1,15,475
2021,1,14,379
2021,1,13,353
2021,1,12,373
2021,1,11,351
2021,1,10,0
2021,1,9,0
2021,1,8,376
2021,1,7,318
2021,1,6,281
2021,1,5,264
2021,1,4,207
2021,1,3,0
2021,1,2,0
2021,1,1,0
2020,12,31,319
2020,12,30,320
2020,12,29,310
2020,12,28,372
2020,12,27,0
2020,12,26,0
2020,12,25,401
2020,12,24,388
2020,12,23,340
2020,12,22,348
2020,12,21,367
2020,12,20,0
2020,12,19,0
2020,12,18,375
2020,12,17,342
2020,12,16,307
2020,12,15,341
2020,12,14,384
2020,12,13,0
2020,12,12,0
2020,12,11,363
2020,12,10,324
2020,12,9,321
2020,12,8,304
2020,12,7,300
2020,12,6,0
2020,12,5,0
2020,12,4,331
2020,12,3,282
2020,12,2,220
2020,12,1,297
2020,11,30,324
2020,11,29,0
2020,11,28,0
2020,11,27,369
2020,11,26,292
2020,11,25,296
2020,11,24,280
2020,11,23,352
2020,11,22,0
2020,11,21,0
2020,11,20,369
2020,11,19,304
2020,11,18,311
2020,11,17,300
2020,11,16,277
2020,11,15,0
2020,11,14,0
2020,11,13,369
2020,11,12,298
2020,11,11,277
2020,11,10,315
2020,11,9,350
2020,11,8,0
2020,11,7,0
2020,11,6,344
2020,11,5,296
2020,11,4,245
2020,11,3,239
2020,11,2,310
2020,11,1,0
2020,10,31,0
2020,10,30,363
2020,10,29,315
2020,10,28,295
2020,10,27,333
2020,10,26,394
2020,10,25,0
2020,10,24,0
2020,10,23,410
2020,10,22,344
2020,10,21,367
2020,10,20,349
2020,10,19,424
2020,10,18,0
2020,10,17,0
2020,10,16,374
2020,10,15,357
2020,10,14,284
2020,10,13,253
2020,10,12,270
2020,10,11,0
2020,10,10,226
2020,10,9,221
2020,10,8,0
2020,10,7,0
2020,10,6,0
2020,10,5,0
2020,10,4,0
2020,10,3,0
2020,10,2,0
2020,10,1,0
2020,9,30,258
2020,9,29,303
2020,9,28,273
2020,9,27,367
2020,9,26,0
2020,9,25,520
2020,9,24,432
2020,9,23,364
2020,9,22,418
2020,9,21,406
2020,9,20,0
2020,9,19,0
2020,9,18,478
2020,9,17,429
2020,9,16,403
2020,9,15,430
2020,9,14,488
2020,9,13,0
2020,9,12,0
2020,9,11,553
2020,9,10,451
2020,9,9,453
2020,9,8,499
2020,9,7,513
2020,9,6,0
2020,9,5,0
2020,9,4,507
2020,9,3,403
2020,9,2,353
2020,9,1,334
2020,8,31,463
2020,8,30,0
2020,8,29,0
2020,8,28,530
2020,8,27,438
2020,8,26,501
2020,8,25,509
2020,8,24,564
2020,8,23,0
2020,8,22,0
2020,8,21,684
2020,8,20,521
2020,8,19,505
2020,8,18,570
2020,8,17,674
2020,8,16,0
2020,8,15,0
2020,8,14,726
2020,8,13,662
2020,8,12,635
2020,8,11,625
2020,8,10,636
2020,8,9,0
2020,8,8,0
2020,8,7,692
2020,8,6,553
2020,8,5,472
2020,8,4,498
2020,8,3,664
2020,8,2,0
2020,8,1,0
2020,7,31,747
2020,7,30,626
2020,7,29,591
2020,7,28,671
2020,7,27,685
2020,7,26,0
2020,7,25,0
2020,7,24,786
2020,7,23,594
2020,7,22,580
2020,7,21,576
2020,7,20,662
2020,7,19,0
2020,7,18,0
2020,7,17,681
2020,7,16,616
2020,7,15,617
2020,7,14,610
2020,7,13,660
2020,7,12,0
2020,7,11,0
2020,7,10,715
2020,7,9,621
2020,7,8,649
2020,7,7,503
2020,7,6,572
2020,7,5,0
2020,7,4,0
2020,7,3,565
2020,7,2,497
2020,7,1,485
2020,6,30,449
2020,6,29,504
2020,6,28,558
2020,6,27,0
2020,6,26,0
2020,6,25,0
2020,6,24,646
2020,6,23,524
2020,6,22,576
2020,6,21,0
2020,6,20,0
2020,6,19,658
